time_s,force_N,weight_g
200.184,2.300036,234.7551
200.621,2.033417,207.5424
201.059,1.801626,183.8844
201.496,1.681447,171.6182
201.933,1.654368,168.8544
202.371,1.657793,169.204
202.808,1.671267,170.5792
203.246,1.599582,163.2627
203.683,1.653528,168.7686
204.12,1.795624,183.2718
204.558,1.896997,193.6185
204.995,1.870607,190.9251
205.433,1.916223,195.5809
205.87,1.825017,186.2719
206.307,1.697276,173.2338
206.745,1.666734,170.1165
207.182,1.627628,166.1251
207.619,1.668179,170.2641
208.057,1.677504,171.2158
208.494,1.594298,162.7233
208.932,1.620575,165.4053
209.369,1.648311,168.2362
209.806,1.629892,166.3562
210.244,1.603093,163.621
210.681,1.647794,168.1835
211.119,1.590521,162.3378
211.556,1.583109,161.5813
211.993,1.541125,157.2962
212.431,1.500063,153.1051
212.868,1.456918,148.7015
213.306,1.486222,151.6925
213.743,1.452311,148.2313
214.181,1.464448,149.4701
214.618,1.479422,150.9984
215.055,1.469877,150.0242
215.493,1.451076,148.1053
215.93,1.46013,149.0294
216.367,1.487077,151.7797
216.805,1.561642,159.3902
217.242,1.54983,158.1847
217.679,1.522045,155.3488
218.117,1.505534,153.6636
218.554,1.525263,155.6772
218.992,1.529663,156.1263
219.429,1.531943,156.359
219.867,1.507875,153.9025
