# title,HighFrictionTest
# notes,bolted one link strongly to test behavior at high joint friction
# independent_variable,F_in [g]
# F_in, g
# l_offset,10
# n_units,2
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,0.2516434782608695,0.3423941405655274,,69,0.029446534121312536
2,100,81.71378550724637,0.4597069060746784,0.8171378550724637,69,-0.04072503728917028
3,200,181.574184057971,0.3721161261753677,0.9078709202898549,69,-0.021928080465865824
4,300,267.45157391304343,0.42684771277084355,0.8915052463768114,69,0.04584546059383364
5,400,354.1880594202898,1.6524985780290085,0.8854701485507245,69,0.14739592906118565
6,500,443.33886956521735,0.6301419719360059,0.8866777391304347,69,0.0703023741856528
7,400,371.72262608695655,0.18799933092197776,0.9293065652173914,69,0.012086668551709355
8,300,290.49258405797093,0.4860630667816395,0.9683086135265697,69,0.05349905870597389
9,200,194.93887246376812,0.3016889106172597,0.9746943623188407,69,0.031196093162907716
10,100,99.20628550724639,0.19059479367261445,0.992062855072464,69,0.011633245666110213
11,0,15.947701449275362,0.3799103897797147,,69,-0.0230065807775478
12,100,50.64163188405797,0.5075043232191269,0.5064163188405797,69,-0.05104740545057002
13,200,96.05378260869563,0.15065166381670492,0.48026891304347813,69,-0.002403313095811934
14,300,144.2545811594203,0.2230236312164897,0.4808486038647343,69,-0.018524726098958135
15,400,189.90303333333333,0.4844587846448938,0.4747575833333333,69,-0.046223586246426036
16,500,240.49926376811598,0.499137339042843,0.48099852753623196,69,-0.04983864248435924
17,400,240.84053913043476,0.2959130750830634,0.6021013478260869,69,-0.02324329562323202
18,300,192.64401739130435,0.5350193663225224,0.6421467246376812,69,0.05930075641693198
19,200,121.74181884057971,0.46410330470050554,0.6087090942028985,69,0.04412396538843176
20,100,74.9369231884058,0.1925635121696127,0.749369231884058,69,-0.005689577091944455
21,0,-18.828671014492755,0.2937868996105497,,69,0.031700929905523964
