# title,OpeningAngleVariationHysteresis
# notes,
# independent_variable,F_in [g]
# F_in, g
# l_offset,15
# n_units,2
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,-2.018644927536232,1.1624329396895814,,69,0.1296429645477466
2,100,94.60525217391304,0.07898289391994504,0.9460525217391305,69,-0.0008402211187894602
3,200,192.628084057971,0.21373804859824358,0.963140420289855,69,-0.02310706802690095
4,300,284.29877971014497,0.3432866653137961,0.9476625990338166,69,-0.03716223456080828
5,400,374.85387681159415,0.17669931684089143,0.9371346920289854,69,-0.017631573788045727
6,500,458.27554782608695,0.09526084870856029,0.9165510956521739,69,-0.00846131202592817
7,400,388.94698695652176,0.4285440415670985,0.9723674673913044,69,-0.03771939725872313
8,300,317.70767101449275,0.20979334937409885,1.059025570048309,69,0.003985033469712718
9,200,209.90220869565218,0.1051109578145172,1.0495110434782609,69,-0.005110861633485885
10,100,115.17888985507243,0.11787581968391642,1.1517888985507243,69,0.009722865799417134
11,0,25.680236231884063,0.2692236075715274,,69,0.027936383407000588
