# independent_variable,l_offset
# independent_unit,mm
# F_in,100 [g]
# l_offset,
# n_units,3
# l_curve,0
# notes,
trial,l_offset,mean_force_g,std_force_g,epsilon,epsilon_%,n_samples
1,10,274.3053195652174,0.3590768668062059,2.743053195652174,274.31,46
2,15,274.6662304347827,1.374581549881769,2.7466623043478267,274.67,46
3,20,273.9179956521739,1.0653055425988265,2.7391799565217387,273.92,46
