# title,DesignValidationTest
# notes,"third test with live plot, automated measuring start and drift analysis"
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,1
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,0.18041428571428572,0.41447518065398226,,35,0.0823340961098379
2,100,83.58984857142856,0.4383093645383546,0.8358984857142856,35,-0.06314979268754496
3,200,184.10102571428573,0.19334287942722525,0.9205051285714286,35,-0.027021670021510638
4,300,279.5997428571429,0.35293940263559787,0.9319991428571431,35,-0.07406825149780333
5,400,374.25197142857144,0.26883048077730337,0.9356299285714286,35,-0.055688212059395836
6,500,467.37798285714285,0.1575710026430949,0.9347559657142857,35,-0.0274732492241461
7,600,565.1243228571429,0.17827871616840507,0.9418738714285716,35,5.4088416735542106e-05
8,700,659.2220657142857,0.08151805625625219,0.9417458081632653,35,-0.015019649181401902
9,800,758.9980342857142,2.070881210690246,0.9487475428571428,35,0.20274367728369894
10,900,848.9392685714284,0.26156017390159647,0.9432658539682538,35,0.023025011997609035
11,1000,953.7242342857143,0.547522965912549,0.9537242342857143,35,-0.10656436104601888
12,900,877.7389171428571,0.36331352000046113,0.9752654634920634,35,-0.056250670514347706
13,800,783.2338714285714,0.29216605529312606,0.9790423392857143,35,-0.026677787333436873
14,700,695.2685857142857,1.5430259010335805,0.9932408367346939,35,-0.16444197508720734
15,600,594.610257142857,0.4593650600593801,0.991017095238095,35,-0.05155561874085672
16,500,496.5190228571427,0.4193559074452651,0.9930380457142854,35,-0.00598914382370525
17,400,395.31532857142867,0.5523110145621969,0.9882883214285717,35,0.10555583331730564
18,300,299.88282285714286,0.2859014300374837,0.9996094095238095,35,0.021314026754868664
19,200,204.3261742857143,0.24958708175334418,1.0216308714285716,35,0.05430737970245741
20,100,104.11160000000001,0.32824349641870554,1.0411160000000002,35,0.07118822493609696
21,0,8.891857142857143,0.06335407171888276,,35,0.0021596332613311683
