# independent_variable,n_units
# independent_unit,
# F_in g,100
# l_offset,15
# n_units,3
# l_curve,0
# notes,
trial,n_units,mean_force_g,std_force_g,epsilon,epsilon_%,n_samples
1,1,106.49922391304351,0.9440142424031029,1.0649922391304352,106.50,46
2,2,110.07399347826085,0.33131497427484957,1.1007399347826086,110.07,46
3,3,111.45130652173914,0.1986922146908214,1.1145130652173914,111.45,46
