# title,OpeningAngleVariationHysteresis
# notes,
# independent_variable,F_in [g]
# F_in, g
# l_offset,0
# n_units,2
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,1.9214637681159419,0.16648279364459906,,69,-0.016483961066842894
2,100,99.50119130434784,0.054965127284409644,0.9950119130434785,69,-0.0009135604385463043
3,200,200.44840724637683,3.5928872430498355,1.0022420362318842,69,0.34780347687763763
4,300,294.360152173913,0.22670954896253048,0.9812005072463766,69,-0.02424694533911979
5,400,387.89762898550725,0.703778465123092,0.9697440724637681,69,0.031833264920473094
6,500,488.85349420289856,0.19272523254627666,0.9777069884057972,69,-0.020827061547116683
7,400,422.6466318840579,0.2854396090927908,1.0566165797101448,69,-0.030903435133476667
8,300,324.352175362319,0.23367305931314342,1.0811739178743967,69,-0.014458390426257345
9,200,225.7092028985507,0.16580471235321853,1.1285460144927535,69,0.01659086274822581
10,100,124.3295608695652,0.13278688721737483,1.243295608695652,69,0.014118817270689707
11,0,31.192284057971015,0.05707369236137864,,69,0.0018112538835648266
