time_s,force_N,weight_g
1070.951,3.799844,387.8341
1071.389,3.799141,387.7624
1071.828,3.799133,387.7616
1072.266,3.800028,387.8529
1072.704,3.800134,387.8638
1073.142,3.799742,387.8237
1073.58,3.799292,387.7778
1074.018,3.799983,387.8483
1074.456,3.79921,387.7695
1074.894,3.799276,387.7762
1075.332,3.799648,387.8141
1075.77,3.798924,387.7403
1076.209,3.798405,387.6873
1076.647,3.798552,387.7023
1077.085,3.798569,387.704
1077.523,3.798368,387.6836
1077.961,3.798974,387.7453
1078.399,3.79937,387.7858
1078.837,3.798528,387.6999
1079.275,3.799129,387.7612
1079.713,3.798769,387.7245
1080.152,3.797862,387.6319
1080.59,3.798552,387.7023
1081.028,3.79789,387.6348
1081.466,3.798074,387.6536
1081.904,3.798557,387.7028
1082.342,3.798536,387.7007
1082.78,3.799165,387.7649
1083.218,3.798618,387.709
1083.656,3.798213,387.6677
1084.095,3.799243,387.7729
1084.533,3.7989,387.7378
1084.971,3.798246,387.6711
1085.409,3.797486,387.5935
1085.847,3.798254,387.6719
1086.285,3.79861,387.7082
1086.723,3.797261,387.5706
1087.161,3.798438,387.6907
1087.6,3.798626,387.7099
1088.038,3.798692,387.7165
1088.476,3.798405,387.6873
1088.914,3.799243,387.7729
1089.352,3.797453,387.5901
1089.79,3.798225,387.669
1090.228,3.797845,387.6302
1090.666,3.797261,387.5706
1091.104,3.797449,387.5897
1091.543,3.79843,387.6898
1091.981,3.798046,387.6506
1092.419,3.797653,387.6106
1092.857,3.798585,387.7057
1093.295,3.79751,387.596
1093.733,3.797952,387.641
1094.171,3.796873,387.5309
1094.609,3.797612,387.6064
1095.047,3.797408,387.5856
1095.486,3.797531,387.5981
1095.924,3.797555,387.6006
1096.362,3.797106,387.5547
1096.8,3.796669,387.5101
1097.238,3.797694,387.6147
1097.676,3.797265,387.571
1098.114,3.79637,387.4796
1098.552,3.815484,389.4305
1098.99,3.824312,390.3315
1099.429,3.82385,390.2844
1099.867,3.823956,390.2952
1100.305,3.823327,390.231
1100.743,3.82282,390.1792
