time_s,force_N,weight_g
1466.952,2.206726,225.2312
1467.39,2.208111,225.3727
1467.828,2.208185,225.3802
1468.266,2.207813,225.3422
1468.704,2.209092,225.4727
1469.142,2.208965,225.4598
1469.58,2.208826,225.4457
1470.018,2.208642,225.4269
1470.456,2.209815,225.5466
1470.894,2.20937,225.5011
1471.332,2.209427,225.5069
1471.77,2.210261,225.5921
1472.208,2.210559,225.6225
1472.645,2.209934,225.5587
1473.083,2.210052,225.5708
1473.521,2.210261,225.5921
1473.959,2.209701,225.5349
1474.397,2.210134,225.5791
1474.835,2.210539,225.6204
1475.273,2.211148,225.6826
1475.711,2.210281,225.5942
1476.149,2.211536,225.7222
1476.587,2.210629,225.6296
1477.025,2.210792,225.6463
1477.463,2.211054,225.673
1477.901,2.211618,225.7306
1478.339,2.210637,225.6305
1478.777,2.211262,225.6943
1479.215,2.210657,225.6325
1479.653,2.210927,225.6601
1480.091,2.210878,225.6551
1480.529,2.211393,225.7076
1480.967,2.211528,225.7214
1481.405,2.21203,225.7727
1481.843,2.211904,225.7597
1482.281,2.21246,225.8165
1482.718,2.212664,225.8373
1483.156,2.212369,225.8073
1483.594,2.21277,225.8482
1484.032,2.213252,225.8974
1484.47,2.212137,225.7835
1484.908,2.213269,225.8991
1485.346,2.212962,225.8678
1485.784,2.212598,225.8307
1486.222,2.21335,225.9074
1486.66,2.213939,225.9675
1487.098,2.212508,225.8215
1487.536,2.212831,225.8544
1487.974,2.21315,225.887
1488.412,2.212263,225.7965
1488.85,2.21172,225.741
1489.288,2.212974,225.869
1489.726,2.212267,225.7969
1490.164,2.2121,225.7798
1490.602,2.211965,225.766
1491.04,2.211838,225.7531
1491.478,2.212672,225.8382
1491.916,2.211879,225.7572
1492.354,2.212214,225.7914
1492.791,2.213089,225.8807
1493.229,2.212819,225.8532
1493.667,2.212684,225.8394
1494.105,2.213604,225.9333
1494.543,2.212905,225.862
1494.981,2.212643,225.8352
1495.419,2.213122,225.8841
1495.857,2.214249,225.9992
1496.295,2.212537,225.8244
1496.733,2.212688,225.8398
