time_s,force_N,weight_g
1333.371,3.18416,324.9939
1333.809,3.183012,324.8767
1334.247,3.183376,324.9138
1334.685,3.182697,324.8446
1335.123,3.180584,324.6289
1335.561,3.181708,324.7437
1335.999,3.182293,324.8033
1336.437,3.179923,324.5614
1336.875,3.181099,324.6815
1337.313,3.182726,324.8475
1337.751,3.181312,324.7032
1338.189,3.179706,324.5392
1338.627,3.178802,324.4471
1339.065,3.178537,324.42
1339.504,3.176841,324.2469
1339.942,3.176612,324.2235
1340.38,3.177973,324.3624
1340.818,3.17537,324.0966
1341.256,3.175717,324.1321
1341.694,3.176547,324.2169
1342.132,3.176718,324.2343
1342.57,3.175022,324.0612
1343.008,3.17593,324.1538
1343.446,3.176702,324.2327
1343.884,3.175488,324.1088
1344.322,3.17649,324.211
1344.76,3.176784,324.241
1345.198,3.175934,324.1542
1345.636,3.175889,324.1497
1346.074,3.176167,324.178
1346.512,3.176085,324.1697
1346.95,3.175594,324.1196
1347.388,3.176902,324.2531
1347.826,3.178157,324.3812
1348.264,3.176093,324.1705
1348.702,3.176751,324.2377
1349.14,3.177805,324.3453
1349.578,3.176694,324.2318
1350.016,3.17635,324.1968
1350.454,3.179183,324.4859
1350.892,3.178995,324.4667
1351.33,3.177944,324.3594
1351.768,3.178713,324.4379
1352.206,3.180106,324.5801
1352.644,3.177626,324.327
1353.082,3.178202,324.3858
1353.52,3.179363,324.5042
1353.958,3.179272,324.495
1354.396,3.178754,324.4421
1354.834,3.179604,324.5288
1355.272,3.179097,324.4771
1355.71,3.177413,324.3053
1356.148,3.177221,324.2856
1356.586,3.177814,324.3461
1357.024,3.17651,324.2131
1357.462,3.176551,324.2173
1357.9,3.177903,324.3553
1358.338,3.176771,324.2398
1358.776,3.174708,324.0291
1359.214,3.176543,324.2164
1359.652,3.176894,324.2523
1360.09,3.175406,324.1005
1360.528,3.175529,324.113
1360.966,3.17709,324.2723
1361.404,3.174773,324.0358
1361.842,3.174654,324.0237
1362.28,3.176902,324.2531
1362.718,3.177192,324.2827
1363.156,3.175942,324.1551
