time_s,force_N,weight_g
1347.116,4.590671,468.5505
1347.553,4.590284,468.5111
1347.99,4.590383,468.5211
1348.427,4.588801,468.3597
1348.863,4.587712,468.2486
1349.3,4.58994,468.4759
1349.737,4.59044,468.527
1350.174,4.589352,468.4159
1350.61,4.591423,468.6273
1351.047,4.591809,468.6667
1351.484,4.59102,468.5862
1351.921,4.594274,468.9183
1352.357,4.596333,469.1284
1352.794,4.594344,468.9255
1353.231,4.594229,468.9137
1353.668,4.595745,469.0685
1354.105,4.593839,468.8739
1354.541,4.59443,468.9343
1354.978,4.596136,469.1083
1355.415,4.595001,468.9925
1355.852,4.594368,468.928
1356.288,4.59473,468.9648
1356.725,4.593083,468.7968
1357.162,4.591969,468.6831
1357.599,4.593551,468.8445
1358.035,4.592528,468.7401
1358.472,4.590194,468.5019
1358.909,4.590137,468.496
1359.346,4.589906,468.4725
1359.782,4.588398,468.3186
1360.219,4.588115,468.2897
1360.656,4.588468,468.3257
1361.093,4.587466,468.2234
1361.529,4.587527,468.2297
1361.966,4.589701,468.4515
