# title,LinkNumberVariationHysteresis
# notes,
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,2
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,0.34118285714285707,0.5687514749745395,,35,-0.11334345795340982
2,100,90.62382857142856,1.1415725288265435,0.9062382857142857,35,0.22338702240789976
3,200,194.18657714285715,0.14600099533447083,0.9709328857142857,35,-0.026193947960762676
4,300,297.1002628571428,0.205762222974386,0.9903342095238094,35,-0.043773747625013903
5,400,376.50552,0.30054541674996693,0.9412638,35,-0.054928631386841564
6,500,468.64627714285723,0.2733532944374942,0.9372925542857145,35,-0.00884926985983599
7,400,400.6025314285714,0.11158353181105063,1.0015063285714285,35,-0.014512350667790858
8,300,311.15434857142856,0.20490607083624254,1.037181161904762,35,0.04257419306109962
9,200,216.6384457142857,0.26639662970714684,1.0831922285714284,35,0.05640298074229368
10,100,110.46014857142859,0.14485756365443553,1.1046014857142858,35,0.026151146900879964
11,0,32.36663428571429,0.05084417337696262,,35,0.0033594215718321355
12,0,1.4605857142857144,0.08151250767558944,,35,0.014351571648689937
13,100,89.72592857142858,0.31541743542713147,0.8972592857142858,35,-0.0646049067211787
14,200,186.50329142857143,0.2536209566070057,0.9325164571428571,35,-0.039588025565520345
15,300,280.50588857142856,0.2958870787901366,0.9350196285714285,35,0.026062866395213644
16,400,379.9489771428571,0.25805718938173006,0.9498724428571427,35,0.049166673582869906
17,500,474.9597771428571,0.2642013114872776,0.9499195542857142,35,-0.05027652321751136
18,400,396.2862457142857,0.1549674241723779,0.9907156142857143,35,-0.0011711742653960772
19,300,301.3375828571429,0.1242637694718872,1.0044586095238095,35,-0.01636093106430603
20,200,207.00422571428575,0.18897362925715583,1.0350211285714288,35,0.03842728867435919
21,100,117.88844,0.07134267017875984,1.1788844,35,-0.007171241281320373
22,0,28.84896857142857,0.15764664279074672,,35,-0.007447909941982533
