time_s,force_N,weight_g
1757.7,1.080661,110.2985
1758.137,1.080328,110.2646
1758.574,1.081881,110.4231
1759.011,1.081906,110.4256
1759.448,1.080098,110.2411
1759.885,1.080443,110.2763
1760.322,1.079913,110.2222
1760.758,1.078553,110.0834
1761.195,1.08076,110.3086
1761.632,1.080879,110.3208
1762.069,1.08071,110.3036
1762.506,1.081413,110.3753
1762.943,1.082551,110.4915
1763.38,1.081392,110.3732
1763.817,1.082214,110.4571
1764.254,1.082243,110.46
1764.691,1.082075,110.4428
1765.128,1.082637,110.5003
1765.565,1.083681,110.6068
1766.002,1.082802,110.517
1766.439,1.083722,110.611
1766.876,1.083545,110.5929
1767.313,1.082613,110.4978
1767.75,1.083032,110.5405
1768.187,1.084248,110.6647
1768.624,1.083792,110.6181
1769.061,1.082958,110.533
1769.498,1.08447,110.6873
1769.935,1.083472,110.5854
1770.372,1.082777,110.5145
1770.809,1.083069,110.5443
1771.246,1.083607,110.5992
1771.683,1.083217,110.5594
1772.119,1.083455,110.5837
1772.556,1.083434,110.5816
