time_s,force_N,weight_g
1365.649,5.495218,560.8739
1366.087,5.495665,560.9195
1366.524,5.497014,561.0573
1366.961,5.495551,560.9079
1367.399,5.495234,560.8755
1367.836,5.494929,560.8444
1368.273,5.495185,560.8706
1368.711,5.494998,560.8514
1369.148,5.494267,560.7768
1369.585,5.493357,560.684
1370.023,5.493369,560.6851
1370.46,5.492686,560.6155
1370.898,5.492686,560.6155
1371.335,5.491902,560.5355
1371.772,5.49178,560.5229
1372.21,5.492344,560.5806
1372.647,5.491739,560.5189
1373.084,5.491979,560.5433
1373.522,5.490642,560.4069
1373.959,5.490516,560.3939
1374.396,5.490784,560.4214
1374.834,5.489032,560.2426
1375.271,5.488719,560.2106
1375.708,5.489139,560.2534
1376.146,5.488057,560.143
1376.583,5.487192,560.0547
1377.02,5.487439,560.08
1377.458,5.487143,560.0497
1377.895,5.486314,559.9651
1378.333,5.485989,559.9319
1378.77,5.486797,560.0145
1379.207,5.485692,559.9016
1379.645,5.485708,559.9033
1380.082,5.48605,559.9381
1380.519,5.487073,560.0426
