time_s,force_N,weight_g
1809.45,7.719744,787.922
1809.887,7.718801,787.8257
1810.324,7.719248,787.8714
1810.761,7.719159,787.8622
1811.198,7.719208,787.8672
1811.635,7.718704,787.8158
1812.072,7.71987,787.9348
1812.509,7.720297,787.9784
1812.947,7.720504,787.9996
1813.384,7.720598,788.0091
1813.821,7.719712,787.9188
1814.258,7.720325,787.9813
1814.695,7.720264,787.9751
1815.132,7.720415,787.9904
1815.569,7.720976,788.0477
1816.006,7.720846,788.0344
1816.444,7.721577,788.1091
1816.881,7.721463,788.0975
1817.318,7.722203,788.173
1817.755,7.723585,788.314
1818.192,7.724775,788.4355
1818.629,7.723601,788.3156
1819.066,7.722999,788.2542
1819.504,7.723686,788.3243
1819.941,7.724137,788.3704
1820.378,7.722935,788.2476
1820.815,7.723467,788.3019
1821.252,7.723113,788.2659
1821.689,7.723069,788.2613
1822.126,7.722605,788.214
1822.563,7.722805,788.2344
1823.001,7.723008,788.2551
1823.438,7.722878,788.2418
1823.875,7.723463,788.3015
1824.312,7.722443,788.1974
