time_s,force_N,weight_g
1990.41,4.886601,498.755
1990.847,4.88871,498.9702
1991.284,4.891945,499.3004
1991.722,4.889869,499.0884
1992.159,4.889686,499.0697
1992.596,4.892315,499.3381
1993.033,4.89212,499.3182
1993.47,4.889393,499.0399
1993.907,4.89134,499.2386
1994.344,4.893197,499.4282
1994.782,4.891254,499.2299
1995.219,4.890994,499.2033
1995.656,4.894132,499.5236
1996.093,4.893872,499.497
1996.53,4.892469,499.3539
1996.967,4.894603,499.5717
1997.405,4.895895,499.7036
1997.842,4.892234,499.3298
1998.279,4.893099,499.4182
1998.716,4.895595,499.6729
1999.153,4.895367,499.6496
1999.59,4.892937,499.4016
2000.028,4.89457,499.5683
2000.465,4.896175,499.7321
2000.902,4.893436,499.4526
2001.339,4.894388,499.5497
2001.776,4.895859,499.6998
2002.213,4.896423,499.7574
2002.651,4.893217,499.4302
2003.088,4.895359,499.6488
2003.525,4.897301,499.847
2003.962,4.894656,499.577
2004.399,4.895782,499.692
2004.836,4.897838,499.9018
2005.274,4.896757,499.7915
