time_s,force_N,weight_g
3394.979,1.021218,104.2315
3395.416,1.023095,104.423
3395.853,1.021411,104.2511
3396.29,1.022752,104.388
3396.727,1.024387,104.5549
3397.164,1.024203,104.5361
3397.601,1.024212,104.537
3398.037,1.025978,104.7173
3398.474,1.025958,104.7152
3398.911,1.024735,104.5904
3399.348,1.025954,104.7148
3399.785,1.027107,104.8325
3400.222,1.02505,104.6226
3400.659,1.024338,104.5499
3401.096,1.027802,104.9035
3401.533,1.027733,104.8964
3401.97,1.026142,104.734
3402.406,1.029004,105.0262
3402.843,1.028575,104.9823
3403.28,1.026841,104.8054
3403.717,1.02752,104.8746
3404.154,1.029049,105.0308
3404.591,1.02745,104.8676
3405.028,1.027573,104.8801
3405.465,1.028918,105.0174
3405.902,1.029736,105.1009
3406.339,1.027986,104.9222
3406.775,1.029818,105.1092
3407.212,1.030247,105.153
3407.649,1.027348,104.8571
3408.086,1.028465,104.9711
3408.523,1.030084,105.1363
3408.96,1.02846,104.9706
3409.397,1.028399,104.9644
3409.834,1.030816,105.2111
