time_s,force_N,weight_g
2700.176,1.041358,106.2871
2700.614,1.040769,106.2269
2701.051,1.041268,106.2779
2701.488,1.042356,106.3889
2701.925,1.041751,106.3271
2702.362,1.042249,106.378
2702.799,1.043448,106.5003
2703.236,1.043767,106.5329
2703.673,1.04312,106.4669
2704.11,1.044167,106.5738
2704.547,1.043975,106.5542
2704.984,1.037845,105.9285
2705.421,1.038311,105.9761
2705.858,1.03978,106.1259
2706.295,1.038794,106.0254
2706.732,1.040659,106.2157
2707.169,1.041591,106.3109
2707.606,1.041342,106.2854
2708.043,1.041477,106.2992
2708.48,1.041849,106.3371
2708.917,1.042319,106.3851
2709.354,1.040638,106.2136
2709.791,1.041076,106.2582
2710.228,1.040601,106.2098
2710.665,1.042274,106.3805
2711.102,1.041084,106.2591
2711.539,1.042462,106.3997
2711.976,1.041149,106.2658
2712.413,1.039722,106.1201
2712.85,1.034815,105.6193
2713.286,1.035502,105.6894
2713.723,1.034938,105.6318
2714.16,1.035866,105.7265
2714.597,1.036737,105.8154
2715.034,1.037109,105.8534
