time_s,force_N,weight_g
2880.23,1.888201,192.7208
2880.667,1.892462,193.1557
2881.104,1.892254,193.1345
2881.541,1.890765,192.9825
2881.978,1.891804,193.0885
2882.415,1.892655,193.1753
2882.852,1.891097,193.0163
2883.289,1.890819,192.9879
2883.726,1.891342,193.0414
2884.163,1.890438,192.9491
2884.6,1.888827,192.7847
2885.037,1.889948,192.899
2885.474,1.89059,192.9646
2885.911,1.88933,192.836
2886.348,1.889899,192.894
2886.785,1.89097,193.0034
2887.222,1.890459,192.9512
2887.659,1.891174,193.0243
2888.095,1.892679,193.1779
2888.532,1.892246,193.1336
2888.969,1.891534,193.061
2889.406,1.892933,193.2037
2889.843,1.89326,193.2371
2890.28,1.892667,193.1766
2890.717,1.89218,193.1269
2891.154,1.893052,193.2159
2891.591,1.891489,193.0564
2892.028,1.890541,192.9596
2892.465,1.893043,193.215
2892.902,1.892418,193.1512
2893.339,1.892229,193.1319
2893.776,1.892569,193.1666
2894.213,1.893698,193.2818
2894.65,1.892532,193.1628
2895.087,1.892156,193.1244
