time_s,force_N,weight_g
1045.69,4.725127,482.2739
1046.127,4.725711,482.3336
1046.563,4.726337,482.3974
1047.0,4.724607,482.2209
1047.437,4.723667,482.1249
1047.874,4.725691,482.3315
1048.311,4.72365,482.1232
1048.748,4.721753,481.9296
1049.185,4.72336,482.0936
1049.622,4.722424,481.998
1050.059,4.718948,481.6432
1050.496,4.719868,481.7372
1050.933,4.721107,481.8636
1051.37,4.716829,481.427
1051.807,4.717664,481.5122
1052.244,4.719729,481.723
1052.681,4.717782,481.5243
1053.118,4.715693,481.311
1053.555,4.718154,481.5623
1053.992,4.717745,481.5205
1054.429,4.716919,481.4362
1054.866,4.717701,481.516
1055.303,4.719161,481.665
1055.739,4.717664,481.5122
1056.176,4.717554,481.5009
1056.613,4.719148,481.6637
1057.05,4.7186,481.6078
1057.487,4.717255,481.4705
1057.924,4.719128,481.6616
1058.361,4.719291,481.6783
1058.798,4.71714,481.4587
1059.235,4.71813,481.5598
1059.672,4.719893,481.7397
1060.109,4.716421,481.3853
1060.546,4.717136,481.4583
