# title,LinearGuideFriction4Link
# notes,no linear guide
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,4
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,-61.996028985507245,297.2182865772854,,69,1.389616431617013
2,0,160.85226521739133,531.1146897144378,,69,-2.5908134273699317
3,0,24.55341449275363,451.4897028706645,,69,-8.706345684234682
4,0,37.623895652173914,255.80326332203347,,69,-6.255689696490888
