time_s,force_N,weight_g
86.228,-0.001038,-0.1059
86.665,-0.000982,-0.1003
87.103,-0.000978,-0.0998
87.541,-0.000889,-0.0907
87.978,-0.000801,-0.0818
88.416,-0.000733,-0.0749
88.853,-0.000191,-0.0195
89.291,0.000511,0.0522
89.728,0.000275,0.028
90.166,0.000842,0.0859
90.603,0.000671,0.0684
91.041,0.000638,0.0651
91.478,0.000644,0.0658
91.916,0.000649,0.0663
92.353,0.000925,0.0944
92.791,0.000837,0.0855
93.228,0.000563,0.0575
93.666,-3.8e-05,-0.0039
94.104,0.000577,0.0589
94.541,-0.000372,-0.0379
94.979,6.7e-05,0.0069
95.416,1.3e-05,0.0013
95.854,-0.000169,-0.0172
96.291,-0.000261,-0.0266
96.729,-0.000267,-0.0272
97.166,-7.2e-05,-0.0073
97.604,-9.2e-05,-0.0094
98.041,-0.0001,-0.0102
98.479,-6.1e-05,-0.0063
98.917,-0.000964,-0.0983
99.354,-0.00022,-0.0225
99.792,-0.000173,-0.0177
100.229,-0.000279,-0.0285
100.667,-0.000287,-0.0293
101.104,-0.00028,-0.0286
101.542,-0.000221,-0.0225
101.98,-0.000254,-0.0259
102.417,-0.000214,-0.0219
102.855,-0.000187,-0.0191
103.292,-0.000257,-0.0262
103.73,-0.000311,-0.0317
104.167,-0.000194,-0.0198
104.605,-0.000351,-0.0358
105.043,-0.000231,-0.0236
105.48,-0.000252,-0.0258
105.918,5.1e-05,0.0052
