# independent_variable,F_in [g]
# F_in, g
# l_offset,0
# n_units,0
# l_curve,0
# notes,2nd test of calibration scale
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples
1,0,0.32530000000000003,0.04854531445521344,,46
2,100,100.15925217391305,0.048820340656695355,1.0015925217391304,46
3,200,198.85100652173915,0.048851172633139026,0.9942550326086957,46
4,300,298.0147369565217,0.04339079963256736,0.993382456521739,46
5,0,0.45826086956521744,0.04208548167855444,,46
6,0,-3.5021500000000003,0.04206744716655757,,46
