time_s,force_N,weight_g
1303.311,1.145292,116.8952
1303.748,1.145248,116.8906
1304.185,1.146167,116.9844
1304.622,1.146118,116.9794
1305.059,1.146016,116.9691
1305.496,1.146915,117.0608
1305.933,1.146943,117.0637
1306.37,1.14561,116.9276
1306.807,1.146415,117.0098
1307.244,1.14809,117.1807
1307.681,1.145719,116.9388
1308.118,1.145988,116.9662
1308.555,1.146516,117.0201
1308.992,1.145467,116.913
1309.429,1.144825,116.8475
1309.866,1.146606,117.0293
1310.303,1.146728,117.0417
1310.74,1.145646,116.9313
1311.177,1.146903,117.0596
1311.614,1.147,117.0695
1312.051,1.145634,116.9301
1312.488,1.146976,117.067
1312.925,1.148224,117.1944
1313.362,1.146106,116.9782
1313.799,1.146894,117.0587
1314.236,1.147911,117.1625
1314.673,1.146341,117.0023
1315.11,1.146711,117.04
1315.547,1.146862,117.0554
1315.984,1.145195,116.8853
1316.421,1.145053,116.8707
1316.858,1.146569,117.0255
1317.295,1.145508,116.9172
1317.732,1.145382,116.9043
1318.169,1.146317,116.9998
