time_s,force_N,weight_g
2577.471,-0.009088,-0.9276
2577.908,-0.009399,-0.9593
2578.345,-0.008288,-0.8459
2578.782,-0.008488,-0.8663
2579.219,-0.007998,-0.8163
2579.656,-0.008035,-0.8201
2580.093,-0.007994,-0.8159
2580.53,-0.007819,-0.798
2580.967,-0.007998,-0.8163
2581.404,-0.007725,-0.7884
2581.841,-0.007631,-0.7788
2582.278,-0.007406,-0.7559
2582.714,-0.006541,-0.6676
2583.151,-0.00641,-0.6542
2583.588,-0.006447,-0.658
2584.025,-0.007071,-0.7217
2584.462,-0.007161,-0.7309
2584.899,-0.006116,-0.6242
2585.336,-0.00688,-0.7022
2585.773,-0.007026,-0.7172
2586.21,-0.007447,-0.7601
2586.647,-0.007039,-0.7184
2587.084,-0.007059,-0.7205
2587.521,-0.006728,-0.6867
2587.958,-0.006982,-0.7126
2588.395,-0.007635,-0.7793
2588.832,-0.007214,-0.7363
2589.269,-0.007933,-0.8097
2589.705,-0.007333,-0.7484
2590.142,-0.006875,-0.7017
2590.579,-0.007623,-0.778
2591.016,-0.007092,-0.7238
2591.453,-0.006757,-0.6897
2591.89,-0.007386,-0.7538
2592.327,-0.006867,-0.7009
