time_s,force_N,weight_g
2423.252,2.161005,220.5647
2423.689,2.161058,220.5701
2424.125,2.163357,220.8047
2424.562,2.16321,220.7898
2424.999,2.162475,220.7147
2425.436,2.163916,220.8618
2425.873,2.163528,220.8223
2426.309,2.162221,220.6889
2426.746,2.164977,220.9702
2427.183,2.165247,220.9977
2427.62,2.163083,220.7768
2428.057,2.164589,220.9306
2428.494,2.165818,221.056
2428.93,2.164271,220.8981
2429.367,2.164328,220.9039
2429.804,2.166896,221.166
2430.241,2.165002,220.9727
2430.678,2.165043,220.9769
2431.115,2.167447,221.2223
2431.551,2.16588,221.0623
2431.988,2.165741,221.0481
2432.425,2.167305,221.2077
2432.862,2.166365,221.1119
2433.299,2.164847,220.9568
2433.736,2.167154,221.1923
2434.173,2.167109,221.1877
2434.609,2.165283,221.0014
2435.046,2.165978,221.0723
2435.483,2.167746,221.2527
2435.92,2.165761,221.0502
2436.357,2.166149,221.0898
2436.794,2.16797,221.2757
2437.231,2.16597,221.0715
2437.667,2.165312,221.0044
2438.104,2.168174,221.2965
