# independent_variable,F_in [g]
# F_in, g
# l_offset,0
# n_units,0
# l_curve,0
# notes,Test of calibration scale
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples
1,0,-0.005182608695652175,0.05584292377074915,,46
2,100,99.8645043478261,0.05239305703164014,0.998645043478261,46
3,200,199.39069565217386,0.04631597255817615,0.9969534782608693,46
4,300,298.2241021739131,0.04518148337110196,0.9940803405797103,46
5,400,397.58052173913046,0.04860675724877605,0.9939513043478262,46
6,500,497.1598934782607,0.04192950911112227,0.9943197869565213,46
