time_s,force_N,weight_g
561.02,-0.001125,-0.1148
561.458,-0.001149,-0.1173
561.896,-0.00104,-0.1061
562.333,-2.4e-05,-0.0025
562.771,-0.000243,-0.0248
563.208,0.000279,0.0285
563.646,-8.9e-05,-0.0091
564.084,-0.000433,-0.0442
564.521,-0.000542,-0.0553
564.959,7.3e-05,0.0074
565.397,8.1e-05,0.0083
565.834,0.000469,0.0479
566.272,0.000352,0.0359
566.709,0.000295,0.0301
567.147,0.000736,0.0751
567.585,0.001202,0.1226
568.022,0.000142,0.0145
568.46,-4e-06,-0.0004
568.897,0.001015,0.1036
569.335,0.00019,0.0194
569.773,-1.2e-05,-0.0012
570.21,0.000364,0.0372
570.648,0.001262,0.1288
571.086,0.000672,0.0685
571.523,0.000862,0.0879
571.961,0.00051,0.052
572.398,0.001307,0.1334
572.836,0.001145,0.1169
573.274,0.000421,0.0429
573.711,0.000696,0.071
574.149,0.001291,0.1317
574.587,0.001553,0.1586
575.024,0.001347,0.1375
575.462,0.002185,0.223
575.9,0.002181,0.2226
576.337,0.001331,0.1358
576.775,0.002205,0.225
577.212,0.002294,0.2341
577.65,0.002654,0.2709
578.088,0.003103,0.3167
578.525,0.003091,0.3155
578.963,0.001913,0.1953
579.401,0.002557,0.261
579.838,0.002783,0.2841
580.276,0.003952,0.4034
580.713,0.003997,0.4079
581.151,0.00305,0.3113
581.589,0.00413,0.4216
582.026,0.003329,0.3398
582.464,0.003487,0.3559
582.902,0.003766,0.3844
583.339,0.002848,0.2907
583.777,0.003463,0.3534
584.215,0.003281,0.3349
584.652,0.003232,0.3299
585.09,0.003406,0.3477
585.528,0.002342,0.2391
585.965,0.003111,0.3175
586.403,0.003447,0.3518
586.841,0.003261,0.3328
587.278,0.002249,0.2296
587.716,0.002828,0.2886
588.154,0.003147,0.3212
588.591,0.00483,0.493
589.029,0.00483,0.493
589.467,0.005393,0.5504
589.904,0.005401,0.5512
590.342,0.006857,0.6999
590.78,0.006675,0.6813
