# title,OpeningAngleVariationHysteresis
# notes,
# independent_variable,F_in [g]
# F_in, g
# l_offset,24
# n_units,2
# l_curve,0
trial,F_in,mean_force_g,std_force_g,epsilon,n_samples,drift_slope_g_s
1,0,-0.5058173913043479,0.11951576435093719,,69,-0.01229891748519809
2,100,84.47326086956522,0.21462684458585257,0.8447326086956523,69,-0.0025693345117847283
3,200,183.67175942028985,0.8265415204899118,0.9183587971014492,69,0.09192669292590913
4,300,264.0057695652173,0.26915501618318793,0.8800192318840576,69,-0.027963039792355482
5,400,357.54310000000004,0.19276526185096513,0.8938577500000001,69,-0.0011614739655664806
6,500,449.49363188405795,0.16477663713320215,0.8989872637681159,69,0.01727823741118331
7,400,384.4874463768116,0.4308739615696666,0.961218615942029,69,-0.04571112105406002
8,300,294.08623913043476,0.1556808360428384,0.9802874637681159,69,0.005724127163322006
9,200,210.85165362318844,0.25836675060379205,1.0542582681159423,69,-0.013291002076794277
10,100,105.5647927536232,1.679175928781633,1.055647927536232,69,-0.1895901068285848
11,0,25.011128985507245,0.9961925844554129,,69,0.10875446359940767
