# variable,F_in
# unit,g
# notes,first test
trial,F_in,mean_force_N,std_force_N,n_samples
1,100,0.9543609130434783,0.0027956178631413408,46
2,200,2.1340366521739127,0.001131376019964483,46
3,300,3.1543580869565218,0.0026341294646837045,46
