2026-05-22 11:57:40,Type: Real-time Plotter
time_s,force_N,weight_g
0.0,-0.004303,-0.4392
0.4370000000000118,-0.004095,-0.4179
0.8740000000000236,-0.004275,-0.4363
1.3110000000000355,-0.004491,-0.4584
1.7479999999999905,-0.004693,-0.479
2.1850000000000023,-0.004807,-0.4907
2.622000000000014,-0.004786,-0.4885
3.059000000000026,-0.004892,-0.4993
3.4960000000000377,-0.004771,-0.487
3.934000000000026,-0.004742,-0.484
4.371000000000038,-0.005044,-0.5148
4.807999999999993,0.003398,0.3468
5.2450000000000045,0.003132,0.3197
5.682000000000016,0.002859,0.2918
6.119000000000028,0.002776,0.2833
6.55600000000004,0.002776,0.2833
6.992999999999995,0.00277,0.2827
7.430000000000007,0.002337,0.2385
7.867000000000019,0.002696,0.2752
8.30400000000003,0.00255,0.2603
8.742000000000019,-0.010135,-1.0345
9.17900000000003,-0.006128,-0.6255
9.616000000000042,-0.005552,-0.5667
10.052999999999997,-0.005408,-0.552
10.490000000000009,-0.00516,-0.5267
10.927000000000021,-0.005071,-0.5176
11.364000000000033,-0.004941,-0.5043
11.801000000000045,-0.003876,-0.3956
12.238,0.008182,0.8351
12.675000000000011,0.005999,0.6123
13.112000000000023,0.005597,0.5713
13.549000000000035,0.005609,0.5725
13.98599999999999,0.005441,0.5553
14.423000000000002,-0.004116,-0.4201
14.86099999999999,-0.002314,-0.2362
15.298000000000002,-0.001928,-0.1968
15.735000000000014,-0.001802,-0.1839
16.172000000000025,-0.00342,-0.3491
16.609000000000037,-0.003438,-0.3509
17.045999999999992,-0.001887,-0.1926
17.483000000000004,-0.007315,-0.7467
17.920000000000016,-0.007016,-0.7161
18.357000000000028,-0.006132,-0.6259
18.79400000000004,-0.028411,-2.8998
19.230999999999995,-0.012094,-1.2344
19.668000000000006,-0.011658,-1.1899
20.105000000000018,-0.009231,-0.9422
20.54200000000003,-0.009192,-0.9382
20.979000000000042,-0.009078,-0.9266
21.415999999999997,-0.009227,-0.9417
21.85300000000001,-0.025449,-2.5975
22.29000000000002,-0.010084,-1.0293
22.727000000000032,-0.009539,-0.9736
23.164000000000044,-0.009326,-0.9519
23.601,-0.001811,-0.1848
24.03800000000001,0.000448,0.0457
24.475000000000023,8e-05,0.0082
24.912000000000035,0.004229,0.4316
25.349000000000046,0.005628,0.5744
25.786,0.005384,0.5495
26.223000000000013,0.005229,0.5337
26.660000000000025,0.005083,0.5188
27.097000000000037,0.012238,1.2491
27.533999999999992,0.009943,1.0149
27.971000000000004,0.009484,0.968
28.408000000000015,0.010303,1.0516
28.846000000000004,0.009507,0.9704
29.283000000000015,0.008844,0.9027
29.720000000000027,0.016644,1.6988
30.15700000000004,0.012082,1.2331
30.593999999999994,0.01153,1.1769
31.031000000000006,0.011401,1.1637
31.468000000000018,0.011214,1.1446
31.90500000000003,0.021097,2.1533
32.34200000000004,0.016365,1.6703
32.778999999999996,0.015581,1.5902
33.21600000000001,0.015258,1.5573
33.652000000000044,0.015825,1.6152
34.089,0.034677,3.5394
34.52600000000001,0.436576,44.5594
34.96300000000002,0.017883,1.8252
35.400000000000034,0.018006,1.8378
35.837000000000046,0.017905,1.8275
36.274,0.018006,1.8378
36.71100000000001,-0.033716,-3.4413
37.148000000000025,-0.554683,-56.6141
37.585000000000036,-0.01341,-1.3687
38.02199999999999,-0.010393,-1.0608
38.459,-0.010028,-1.0235
38.896000000000015,-0.009939,-1.0144
39.33300000000003,-0.009883,-1.0087
39.77000000000004,-0.009836,-1.0039
40.206999999999994,-0.009786,-0.9988
40.644000000000005,-0.010001,-1.0208
41.08100000000002,-0.009828,-1.0031
41.51800000000003,-0.009415,-0.9609
41.95500000000004,-0.00913,-0.9319
42.391999999999996,-0.009141,-0.933
42.82900000000001,-0.009442,-0.9637
43.26600000000002,-0.009736,-0.9937
43.70300000000003,-0.009924,-1.0129
44.14000000000004,-0.010312,-1.0525
44.577,-0.010967,-1.1193
45.013000000000034,-0.010991,-1.1218
45.450000000000045,-0.010821,-1.1044
45.887,-0.01067,-1.0891
46.32400000000001,-0.010139,-1.0349
46.761000000000024,-0.009218,-0.9409
47.198000000000036,-0.00872,-0.8901
47.63499999999999,-0.002955,-0.3016
48.072,-0.002297,-0.2344
48.509000000000015,-0.012985,-1.3254
48.946000000000026,-0.03832,-3.9111
49.38300000000004,0.117632,12.0062
49.81999999999999,0.054809,5.5942
50.257000000000005,0.013731,1.4015
50.69400000000002,-0.027561,-2.813
51.13100000000003,0.012414,1.267
51.56800000000004,0.018543,1.8926
52.004999999999995,-0.012251,-1.2504
52.44200000000001,0.122583,12.5115
52.87800000000004,0.044316,4.5232
53.315,-0.011855,-1.21
53.75200000000001,-0.105348,-10.7525
54.18900000000002,-0.07872,-8.0346
54.62600000000003,-0.123626,-12.618
55.063000000000045,-0.114659,-11.7028
