time_s,force_N,weight_g
543.885,2.780262,283.7697
544.322,2.774933,283.2258
544.759,2.775312,283.2645
545.196,2.779871,283.7299
545.633,2.777699,283.5081
546.07,2.773607,283.0905
546.507,2.77776,283.5144
546.944,2.779082,283.6493
547.381,2.773603,283.0901
547.818,2.774559,283.1877
548.255,2.779135,283.6547
548.692,2.775727,283.3068
549.129,2.773099,283.0386
549.566,2.777793,283.5177
550.003,2.777134,283.4504
550.44,2.77257,282.9846
550.877,2.775865,283.3209
551.314,2.779489,283.6908
551.751,2.77493,283.2254
552.188,2.773941,283.1245
552.625,2.778521,283.592
553.061,2.776133,283.3483
553.498,2.771692,282.895
553.935,2.775613,283.2952
554.372,2.776833,283.4197
554.809,2.771667,282.8925
555.246,2.773701,283.1
555.683,2.77787,283.5256
556.12,2.772924,283.0207
556.557,2.771272,282.8522
556.994,2.775983,283.3329
557.431,2.774071,283.1378
557.868,2.770435,282.7667
558.305,2.773591,283.0888
558.742,2.776252,283.3604
559.179,2.770622,282.7858
559.616,2.772066,282.9331
560.053,2.775889,283.3234
560.49,2.772615,282.9892
560.927,2.769581,282.6795
561.364,2.774978,283.2304
561.801,2.775052,283.2379
562.238,2.77,282.7223
562.675,2.77412,283.1428
563.112,2.77717,283.4542
563.549,2.772526,282.9801
