time_s,force_N,weight_g
345.482,0.006585,0.6721
345.919,0.007277,0.7427
346.356,0.007871,0.8033
346.793,0.007724,0.7884
347.23,0.008176,0.8345
347.667,0.007802,0.7963
348.104,0.007671,0.783
348.541,0.007627,0.7784
348.978,0.007204,0.7352
349.415,0.007431,0.7585
349.852,0.007964,0.8129
350.289,0.008709,0.8889
350.726,0.007553,0.7709
351.163,0.007179,0.7328
351.6,0.006935,0.7078
352.037,0.005975,0.6099
352.475,0.006886,0.7029
352.912,0.005686,0.5804
353.349,0.004828,0.4928
353.786,0.004828,0.4928
354.223,0.005373,0.5484
354.66,0.004966,0.5069
355.097,0.005524,0.5638
355.534,0.005064,0.5169
355.971,0.005019,0.5123
356.408,0.004613,0.4708
356.845,0.004901,0.5003
357.282,0.004486,0.4579
357.719,0.004519,0.4612
358.156,0.004507,0.46
358.593,0.004763,0.4861
359.03,0.004698,0.4795
359.467,0.005796,0.5916
359.904,0.005471,0.5584
360.341,0.005959,0.6082
360.778,0.00744,0.7593
361.215,0.007562,0.7718
361.652,0.008314,0.8486
362.089,0.008717,0.8897
362.526,0.008823,0.9005
362.963,0.008526,0.8702
363.4,0.008363,0.8536
363.837,0.009148,0.9337
364.274,0.008469,0.8644
364.711,0.009241,0.9432
365.148,0.008953,0.9138
