time_s,force_N,weight_g
903.222,0.010202,1.0413
903.66,0.009623,0.9822
904.098,0.009566,0.9763
904.535,0.010047,1.0255
904.973,0.009574,0.9772
905.411,0.01125,1.1482
905.848,0.010642,1.0862
906.286,0.010981,1.1208
906.723,0.010871,1.1095
907.161,0.010952,1.1178
907.599,0.01125,1.1482
908.036,0.012029,1.2277
908.474,0.011066,1.1295
908.912,0.011278,1.1511
909.349,0.010977,1.1203
909.787,0.011539,1.1778
910.224,0.01147,1.1707
910.662,0.011613,1.1853
911.1,0.011258,1.1491
911.537,0.011967,1.2215
911.975,0.011197,1.1428
912.413,0.012037,1.2285
912.85,0.011882,1.2127
913.288,0.011409,1.1645
913.725,0.012237,1.2489
914.163,0.01229,1.2544
914.601,0.012127,1.2377
915.038,0.012277,1.2531
915.476,0.012375,1.2631
915.914,0.012579,1.2839
916.351,0.012693,1.2955
916.789,0.012469,1.2727
917.226,0.011972,1.2219
917.664,0.011955,1.2202
918.102,0.011776,1.2019
918.539,0.012184,1.2435
918.977,0.012355,1.261
919.415,0.01147,1.1707
919.852,0.011478,1.1715
920.29,0.011405,1.164
920.727,0.012563,1.2822
921.165,0.012184,1.2435
921.603,0.012122,1.2373
922.04,0.012106,1.2356
922.478,0.012094,1.2344
922.916,0.012298,1.2552
923.353,0.012025,1.2273
923.791,0.012004,1.2252
924.228,0.012432,1.2689
924.666,0.012188,1.2439
925.104,0.012404,1.266
925.541,0.012445,1.2702
925.979,0.012705,1.2968
926.417,0.013089,1.3359
926.854,0.011808,1.2052
927.292,0.013126,1.3397
927.73,0.013109,1.338
928.167,0.01286,1.3126
928.605,0.012705,1.2968
929.042,0.012816,1.308
929.48,0.013415,1.3692
929.918,0.014051,1.4341
930.355,0.013248,1.3522
930.793,0.014002,1.4291
931.231,0.013072,1.3343
931.668,0.012979,1.3247
932.106,0.013615,1.3896
932.543,0.013847,1.4133
932.981,0.013191,1.3463
