time_s,force_N,weight_g
794.265,1.001557,102.2247
794.703,1.002732,102.3446
795.14,1.001753,102.2447
795.578,1.001492,102.2181
796.015,1.002516,102.3226
796.452,1.000705,102.1377
796.89,1.000036,102.0694
797.327,0.999738,102.0391
797.764,1.000166,102.0828
798.202,0.999738,102.0391
798.639,1.000325,102.099
799.077,1.00037,102.1036
799.514,1.000717,102.139
799.951,1.001537,102.2226
800.389,1.001006,102.1685
800.826,1.001553,102.2243
801.263,1.001014,102.1694
801.701,1.001214,102.1898
802.138,1.000908,102.1585
802.576,1.000766,102.144
803.013,1.001989,102.2689
803.45,1.001675,102.2368
803.888,1.001312,102.1998
804.325,1.00037,102.1036
804.763,1.000554,102.1223
805.2,1.001039,102.1718
805.637,1.000566,102.1236
806.075,1.000811,102.1485
806.512,1.001227,102.191
806.949,1.00006,102.0719
807.387,1.000407,102.1073
807.824,1.000472,102.114
808.262,1.001133,102.1814
808.699,1.000684,102.1356
809.136,1.000215,102.0878
