time_s,force_N,weight_g
1824.445,9.357086,955.0386
1824.882,9.358037,955.1357
1825.32,9.357013,955.0311
1825.757,9.357792,955.1107
1826.194,9.358999,955.2338
1826.632,9.35882,955.2156
1827.069,9.3578,955.1116
1827.506,9.358351,955.1677
1827.944,9.357951,955.1269
1828.381,9.357229,955.0532
1828.818,9.357596,955.0907
1829.256,9.357641,955.0953
1829.693,9.357054,955.0353
1830.13,9.357503,955.0812
1830.568,9.357547,955.0856
1831.005,9.356613,954.9904
1831.442,9.356633,954.9924
1831.88,9.356903,955.02
1832.317,9.355716,954.8987
1832.754,9.354651,954.7901
1833.192,9.356225,954.9507
1833.629,9.356405,954.9691
1834.066,9.356071,954.9349
1834.504,9.357339,955.0644
1834.941,9.359223,955.2568
1835.378,9.359435,955.2784
1835.816,9.359893,955.3251
1836.253,9.361487,955.4879
1836.691,9.360023,955.3384
1837.128,9.360223,955.3588
1837.565,9.361724,955.512
1838.003,9.360394,955.3763
1838.44,9.360219,955.3583
1838.877,9.361414,955.4803
1839.315,9.360932,955.4312
