time_s,force_N,weight_g
2264.899,4.084999,416.9388
2265.336,4.085913,417.032
2265.774,4.08641,417.0828
2266.211,4.086965,417.1394
2266.648,4.085725,417.0129
2267.086,4.085819,417.0224
2267.523,4.08692,417.1348
2267.961,4.08674,417.1165
2268.398,4.086308,417.0724
2268.836,4.086977,417.1407
2269.273,4.086928,417.1357
2269.711,4.087218,417.1652
2270.148,4.087593,417.2035
2270.586,4.087181,417.1615
2271.023,4.087365,417.1802
2271.461,4.08732,417.1756
2271.898,4.087149,417.1582
2272.335,4.08803,417.2481
2272.773,4.088405,417.2863
2273.21,4.088299,417.2755
2273.648,4.088095,417.2547
2274.085,4.087919,417.2368
2274.523,4.088184,417.2639
2274.96,4.088393,417.2852
2275.398,4.088237,417.2693
2275.835,4.087965,417.2414
2276.273,4.08803,417.2481
2276.71,4.088849,417.3317
2277.148,4.088604,417.3067
2277.585,4.088552,417.3013
2278.022,4.089453,417.3934
2278.46,4.088519,417.298
2278.897,4.088531,417.2993
2279.335,4.088955,417.3426
2279.772,4.087205,417.1639
