time_s,force_N,weight_g
601.45,-0.002937,-0.2998
601.888,-0.002516,-0.2568
602.326,-0.00318,-0.3246
602.763,-0.003585,-0.366
603.201,-0.00301,-0.3072
603.638,-0.003221,-0.3287
604.076,-0.003727,-0.3804
604.514,-0.004558,-0.4652
604.951,-0.004825,-0.4925
605.389,-0.004363,-0.4453
605.826,-0.004473,-0.4565
606.264,-0.005263,-0.5371
606.702,-0.004947,-0.5049
607.139,-0.004444,-0.4536
607.577,-0.004647,-0.4743
608.015,-0.003942,-0.4023
608.452,-0.004412,-0.4503
608.89,-0.003881,-0.3961
609.327,-0.003869,-0.3949
609.765,-0.003346,-0.3416
610.203,-0.00412,-0.4205
610.64,-0.003468,-0.354
611.078,-0.003241,-0.3308
611.516,-0.003585,-0.366
611.953,-0.003253,-0.332
612.391,-0.003946,-0.4028
612.828,-0.003695,-0.3771
613.266,-0.004084,-0.4168
613.704,-0.004027,-0.411
614.141,-0.003456,-0.3527
614.579,-0.004493,-0.4586
615.016,-0.003675,-0.3751
615.454,-0.003419,-0.349
615.892,-0.003816,-0.3895
616.329,-0.00382,-0.3899
616.767,-0.003792,-0.387
617.205,-0.003233,-0.33
617.642,-0.003298,-0.3366
618.08,-0.003371,-0.344
618.518,-0.002597,-0.2651
618.955,-0.003298,-0.3366
619.393,-0.003675,-0.3751
619.83,-0.003825,-0.3904
620.268,-0.003784,-0.3862
620.706,-0.004728,-0.4826
621.143,-0.004141,-0.4226
621.581,-0.004084,-0.4168
622.019,-0.0044,-0.4491
622.456,-0.00523,-0.5338
622.894,-0.004489,-0.4582
623.332,-0.004773,-0.4871
623.769,-0.004967,-0.507
624.207,-0.004845,-0.4946
624.645,-0.004643,-0.4739
625.082,-0.00427,-0.4358
625.52,-0.004748,-0.4846
625.957,-0.004335,-0.4425
626.395,-0.005396,-0.5508
626.833,-0.005437,-0.5549
627.27,-0.006296,-0.6426
627.708,-0.005396,-0.5508
628.146,-0.004918,-0.502
628.583,-0.004882,-0.4983
629.021,-0.004193,-0.428
629.459,-0.004092,-0.4176
629.896,-0.004384,-0.4474
630.334,-0.004542,-0.4635
630.771,-0.004732,-0.483
631.209,-0.003893,-0.3974
