time_s,force_N,weight_g
1332.315,2.089581,213.2748
1332.753,2.089338,213.25
1333.191,2.09046,213.3645
1333.628,2.090278,213.3459
1334.066,2.089727,213.2897
1334.504,2.090574,213.3761
1334.941,2.091607,213.4816
1335.379,2.091113,213.4311
1335.817,2.09091,213.4104
1336.255,2.091651,213.4861
1336.692,2.091882,213.5097
1337.13,2.091011,213.4208
1337.568,2.090946,213.4142
1338.006,2.092429,213.5655
1338.443,2.091777,213.4989
1338.881,2.092369,213.5593
1339.319,2.092725,213.5957
1339.756,2.091469,213.4675
1340.194,2.092206,213.5428
1340.632,2.09343,213.6676
1341.07,2.092964,213.6201
1341.507,2.092527,213.5754
1341.945,2.093231,213.6474
1342.383,2.093495,213.6743
1342.821,2.093094,213.6333
1343.258,2.092458,213.5684
1343.696,2.0936,213.685
1344.134,2.092863,213.6097
1344.572,2.093823,213.7077
1345.009,2.094459,213.7727
1345.447,2.094386,213.7652
1345.885,2.094005,213.7264
1346.323,2.09486,213.8136
1346.76,2.094176,213.7437
1347.198,2.09356,213.6809
1347.636,2.094491,213.776
1348.074,2.095824,213.912
1348.511,2.094629,213.7901
1348.949,2.095156,213.8438
1349.387,2.095994,213.9294
1349.825,2.095067,213.8347
1350.262,2.094755,213.8029
1350.7,2.096274,213.9579
1351.138,2.0955,213.8789
1351.575,2.096063,213.9364
1352.013,2.096359,213.9666
1352.451,2.096724,214.0038
1352.889,2.095306,213.8591
1353.326,2.097028,214.0348
1353.764,2.096959,214.0278
1354.202,2.09608,213.9381
1354.639,2.096339,213.9645
1355.077,2.097028,214.0348
1355.515,2.096444,213.9753
1355.953,2.09629,213.9596
1356.39,2.097644,214.0977
1356.828,2.096655,213.9968
1357.266,2.097165,214.0489
1357.703,2.096995,214.0315
1358.141,2.096825,214.0141
1358.579,2.096019,213.9319
1359.017,2.096327,213.9633
1359.454,2.09674,214.0055
1359.892,2.096343,213.965
1360.33,2.096092,213.9393
1360.768,2.097186,214.0509
1361.205,2.096801,214.0117
1361.643,2.09625,213.9554
1362.081,2.097546,214.0878
